map,RightTile,RightIpix,RightRA,RightDec
adapt_p11-715852394892384_a225-0_424_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_430_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_438_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_447_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_45_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_462_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_477_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_502_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_506_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_512_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_516_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_518_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_531_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_533_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_53_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_546_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_54_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_557_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_558_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_55_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_579_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_69_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_71_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_74_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_78_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_79_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_81_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_90_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a315-0_101_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_105_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_113_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_11_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_133_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_143_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_144_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_150_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_164_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_170_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_175_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_178_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_180_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_184_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_18_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_190_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_220_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_228_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_229_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_232_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_247_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_252_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_255_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_263_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_268_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_269_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_272_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_273_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_302_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_313_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_317_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_328_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_331_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_333_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_34_map.h5,1778,16320,315.0,78.28414916992188
adapt_p11-715852394892384_a315-0_357_map.h5,1778,16320,315.0,78.28414916992188
