fluence,length,alt,az,transient_id,est_length,n_src,n_bkg,alt_ml,az_ml,err,exp_angdist,conf,wait_time,mapping_time
3.472,3.579,78.284,135.000,168,3.6,540,1343,81.220,146.250,3.540,4.638,0.9714,3.579,0.140
3.365,2.422,78.284,135.000,169,2.4,563,894,76.814,142.500,2.183,1.963,0.5025,2.422,0.097
3.250,3.512,78.284,135.000,16,3.5,565,1364,79.753,125.357,2.347,2.959,0.8303,3.512,0.122
0.785,4.099,78.284,135.000,170,4.1,146,1479,84.150,163.125,7.105,8.860,0.6237,4.099,1.128
1.237,2.260,78.284,135.000,171,2.3,207,848,76.077,149.211,3.833,4.848,0.6694,2.260,0.224
2.013,3.952,78.284,135.000,172,4.0,358,1415,75.341,141.750,3.317,3.329,0.6510,3.952,0.214
4.746,2.956,78.284,135.000,173,3.0,845,1046,74.603,139.286,3.813,3.553,0.9853,2.956,0.103
4.864,1.401,78.284,135.000,174,1.4,823,511,76.077,139.737,2.442,2.469,0.8538,1.401,0.088
3.031,1.539,78.284,135.000,175,1.5,514,561,76.814,137.500,1.566,1.975,0.3981,1.539,0.116
4.440,2.273,78.284,135.000,176,2.3,688,843,75.341,128.250,3.317,3.595,0.9672,2.273,0.090
2.580,4.974,78.284,135.000,177,5.0,479,1842,75.341,146.250,3.892,4.785,0.8982,4.974,0.194
3.679,1.469,78.284,135.000,178,1.5,633,571,80.487,135.000,2.202,2.414,0.9351,1.469,0.095
4.231,1.093,78.284,135.000,179,1.1,730,427,75.341,128.250,3.317,2.966,0.9408,1.093,0.092
1.760,1.058,78.284,135.000,17,1.1,293,389,79.753,131.786,1.591,2.380,0.3263,1.058,0.138
2.130,3.636,78.284,135.000,180,3.6,386,1405,76.077,130.263,2.442,2.799,0.5173,3.636,0.123
2.924,2.371,78.284,135.000,181,2.4,502,967,76.814,127.500,2.183,2.326,0.5442,2.371,0.123
4.556,4.662,78.284,135.000,182,4.7,735,1751,74.603,139.286,3.813,3.778,0.9766,4.662,0.098
4.097,0.333,78.284,135.000,183,0.3,626,134,76.814,127.500,2.183,2.615,0.8336,0.333,0.108
4.026,4.915,78.284,135.000,184,4.9,685,1752,76.077,120.789,3.833,3.374,0.8650,4.915,0.138
0.644,3.930,78.284,135.000,185,3.9,125,1403,66.444,277.031,33.530,32.805,0.9688,3.930,0.712
1.931,2.820,78.284,135.000,186,2.8,319,1057,76.077,135.000,2.207,2.519,0.4523,2.820,0.136
0.626,1.030,78.284,135.000,187,1.0,94,349,73.127,135.000,5.157,4.943,0.7057,1.030,0.331
4.369,3.069,78.284,135.000,188,3.1,777,1183,76.077,125.526,3.041,2.992,0.9286,3.069,0.120
1.298,0.400,78.284,135.000,189,0.4,251,145,70.165,151.667,9.219,6.821,0.7983,0.400,0.226
4.814,1.838,78.284,135.000,18,1.8,849,697,76.077,130.263,2.442,2.563,0.8568,1.838,0.094
