ID,RA,DEC,HEALPixels
238,7.65957447,-80.55010000,32907
239,15.31914894,-80.55010000,32908
240,22.97872340,-80.55010000,32903
241,30.63829787,-80.55010000,32912
242,38.29787234,-80.55010000,32827
243,45.95744681,-80.55010000,32828
244,53.61702128,-80.55010000,32823
245,61.27659574,-80.55010000,32864
246,68.93617021,-80.55010000,32843 32844
247,76.59574468,-80.55010000,32839
248,84.25531915,-80.55010000,32848
249,91.91489362,-80.55010000,37024
250,99.57446809,-80.55010000,37003
251,107.23404255,-80.55010000,37004
252,114.89361702,-80.55010000,36999
253,122.55319149,-80.55010000,37008
254,130.21276596,-80.55010000,36923
255,137.87234043,-80.55010000,36924
256,145.53191489,-80.55010000,36919 36960
257,153.19148936,-80.55010000,36939
258,160.85106383,-80.55010000,36940
259,168.51063830,-80.55010000,36935
260,176.17021277,-80.55010000,36944
261,183.82978723,-80.55010000,41120
262,191.48936170,-80.55010000,41099
263,199.14893617,-80.55010000,41100
264,206.80851064,-80.55010000,41095
265,214.46808511,-80.55010000,41019 41104
266,222.12765957,-80.55010000,41020
267,229.78723404,-80.55010000,41015
268,237.44680851,-80.55010000,41056
269,245.10638298,-80.55010000,41035
270,252.76595745,-80.55010000,41036
271,260.42553191,-80.55010000,41031
272,268.08510638,-80.55010000,41040
273,275.74468085,-80.55010000,45216
274,283.40425532,-80.55010000,45195
275,291.06382979,-80.55010000,45191 45196
276,298.72340426,-80.55010000,45200
277,306.38297872,-80.55010000,45115
278,314.04255319,-80.55010000,45116
279,321.70212766,-80.55010000,45111
280,329.36170213,-80.55010000,45152
281,337.02127660,-80.55010000,45131
282,344.68085106,-80.55010000,45132
283,352.34042553,-80.55010000,45127
284,3.57562936,-79.65010000,32930
285,10.63445289,-79.65010000,32929
286,17.69327642,-79.65010000,32910
287,24.75209995,-79.65010000,32909
288,31.81092348,-79.65010000,32914
289,38.86974701,-79.65010000,32830 32913
290,45.92857054,-79.65010000,32829
291,52.98739407,-79.65010000,32866
292,60.04621760,-79.65010000,32865
293,67.10504113,-79.65010000,32846
294,74.16386465,-79.65010000,32845
295,81.22268818,-79.65010000,32850
296,88.28151171,-79.65010000,32849
297,95.34033524,-79.65010000,37026
298,102.39915877,-79.65010000,37025
299,109.45798230,-79.65010000,37005 37006
300,116.51680583,-79.65010000,37010
301,123.57562936,-79.65010000,37009
302,130.63445289,-79.65010000,36926
303,137.69327642,-79.65010000,36925
304,144.75209995,-79.65010000,36962
305,151.81092348,-79.65010000,36961
306,158.86974701,-79.65010000,36942
307,165.92857054,-79.65010000,36941
308,172.98739407,-79.65010000,36946
309,180.04621760,-79.65010000,36945 41122
310,187.10504113,-79.65010000,41121
311,194.16386465,-79.65010000,41102
312,201.22268818,-79.65010000,41101
313,208.28151171,-79.65010000,41106
314,215.34033524,-79.65010000,41105
315,222.39915877,-79.65010000,41022
316,229.45798230,-79.65010000,41021
317,236.51680583,-79.65010000,41058
318,243.57562936,-79.65010000,41057
319,250.63445289,-79.65010000,41037 41038
320,257.69327642,-79.65010000,41042
321,264.75209995,-79.65010000,41041
322,271.81092348,-79.65010000,45218
323,278.86974701,-79.65010000,45217
324,285.92857054,-79.65010000,45198
325,292.98739407,-79.65010000,45197
326,300.04621760,-79.65010000,45202
327,307.10504113,-79.65010000,45201
328,314.16386465,-79.65010000,45118
329,321.22268818,-79.65010000,45117 45154
330,328.28151171,-79.65010000,45153
331,335.34033524,-79.65010000,45134
332,342.39915877,-79.65010000,45133
333,349.45798230,-79.65010000,45138
334,356.51680583,-79.65010000,45137
335,0.00000000,-78.75010000,32936 45140
336,6.54545455,-78.75010000,32931
337,13.09090909,-78.75010000,32932
338,19.63636364,-78.75010000,32911
339,26.18181818,-78.75010000,32920
340,32.72727273,-78.75010000,32915
341,39.27272727,-78.75010000,32916
342,45.81818182,-78.75010000,32831
343,52.36363636,-78.75010000,32872
344,58.90909091,-78.75010000,32867
345,65.45454545,-78.75010000,32868
346,72.00000000,-78.75010000,32847 32856
347,78.54545455,-78.75010000,32851
348,85.09090909,-78.75010000,32852
349,91.63636364,-78.75010000,37032
350,98.18181818,-78.75010000,37027
351,104.72727273,-78.75010000,37028
352,111.27272727,-78.75010000,37007
353,117.81818182,-78.75010000,37016
354,124.36363636,-78.75010000,37011
355,130.90909091,-78.75010000,37012
356,137.45454545,-78.75010000,36927
357,144.00000000,-78.75010000,36963 36968
358,150.54545455,-78.75010000,36964
359,157.09090909,-78.75010000,36943
360,163.63636364,-78.75010000,36952
361,170.18181818,-78.75010000,36947
362,176.72727273,-78.75010000,36948
363,183.27272727,-78.75010000,41128
364,189.81818182,-78.75010000,41123
365,196.36363636,-78.75010000,41124
366,202.90909091,-78.75010000,41103
367,209.45454545,-78.75010000,41112
368,216.00000000,-78.75010000,41107 41108
369,222.54545455,-78.75010000,41023
370,229.09090909,-78.75010000,41064
371,235.63636364,-78.75010000,41059
372,242.18181818,-78.75010000,41060
373,248.72727273,-78.75010000,41039
374,255.27272727,-78.75010000,41048
375,261.81818182,-78.75010000,41043
376,268.36363636,-78.75010000,41044
377,274.90909091,-78.75010000,45224
378,281.45454545,-78.75010000,45219
379,288.00000000,-78.75010000,45199 45220
380,294.54545455,-78.75010000,45208
381,301.09090909,-78.75010000,45203
