dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_250_5-0_99_map.h5,50,6,gcp,0.622548,21.0076
sim_250_5-0_99_map.h5,50,6,total,9.94201,30.9496
sim_250_5-0_99_map.h5,60,6,init,0.21127,0.21127
sim_250_5-0_99_map.h5,60,6,mapping,20.0078,20.2191
sim_250_5-0_99_map.h5,60,6,gcp,0.645461,20.8646
sim_250_5-0_99_map.h5,60,6,total,9.96914,30.8337
sim_250_5-0_99_map.h5,70,6,init,0.217543,0.217543
sim_250_5-0_99_map.h5,70,6,mapping,20.0992,20.3168
sim_250_5-0_99_map.h5,70,6,gcp,1.00851,21.3253
sim_250_5-0_99_map.h5,70,6,total,9.92073,31.246
sim_250_5-0_99_map.h5,80,6,init,0.20775,0.20775
sim_250_5-0_99_map.h5,80,6,mapping,20.3188,20.5266
sim_250_5-0_99_map.h5,80,6,gcp,0.65282,21.1794
sim_250_5-0_99_map.h5,80,6,total,9.93439,31.1138
sim_250_5-0_99_map.h5,90,6,init,0.224615,0.224615
sim_250_5-0_99_map.h5,90,6,mapping,20.2323,20.457
sim_250_5-0_99_map.h5,90,6,gcp,0.591282,21.0482
sim_250_5-0_99_map.h5,90,6,total,9.97667,31.0249
sim_250_5-0_99_map.h5,100,6,init,0.211879,0.211879
sim_250_5-0_99_map.h5,100,6,mapping,20.2984,20.5103
sim_250_5-0_99_map.h5,100,6,gcp,0.68751,21.1978
sim_250_5-0_99_map.h5,100,6,total,9.867,31.0648
sim_300_3-0_80_map.h5,5,6,init,0.2306,0.2306
sim_300_3-0_80_map.h5,5,6,mapping,20.1592,20.3898
sim_300_3-0_80_map.h5,5,6,gcp,0.562258,20.952
sim_300_3-0_80_map.h5,5,6,total,10.0091,30.9611
sim_300_3-0_80_map.h5,10,6,init,0.215975,0.215975
sim_300_3-0_80_map.h5,10,6,mapping,20.1973,20.4132
sim_300_3-0_80_map.h5,10,6,gcp,0.97299,21.3862
sim_300_3-0_80_map.h5,10,6,total,9.64526,31.0315
sim_300_3-0_80_map.h5,20,6,init,0.214503,0.214503
sim_300_3-0_80_map.h5,20,6,mapping,19.896,20.1105
sim_300_3-0_80_map.h5,20,6,gcp,0.929373,21.0399
sim_300_3-0_80_map.h5,20,6,total,9.86354,30.9034
sim_300_3-0_80_map.h5,30,6,init,0.207303,0.207303
sim_300_3-0_80_map.h5,30,6,mapping,20.4798,20.6871
sim_300_3-0_80_map.h5,30,6,gcp,0.589107,21.2763
sim_300_3-0_80_map.h5,30,6,total,10.0347,31.3109
sim_300_3-0_80_map.h5,40,6,init,0.211974,0.211974
sim_300_3-0_80_map.h5,40,6,mapping,19.8083,20.0202
sim_300_3-0_80_map.h5,40,6,gcp,0.929821,20.9501
sim_300_3-0_80_map.h5,40,6,total,9.68018,30.6302
sim_300_3-0_80_map.h5,50,6,init,0.219175,0.219175
sim_300_3-0_80_map.h5,50,6,mapping,20.2224,20.4416
sim_300_3-0_80_map.h5,50,6,gcp,0.990015,21.4316
sim_300_3-0_80_map.h5,50,6,total,9.57502,31.0066
sim_300_3-0_80_map.h5,60,6,init,0.215878,0.215878
sim_300_3-0_80_map.h5,60,6,mapping,20.16,20.3759
sim_300_3-0_80_map.h5,60,6,gcp,0.613235,20.9891
sim_300_3-0_80_map.h5,60,6,total,9.98454,30.9736
sim_300_3-0_80_map.h5,70,6,init,0.225831,0.225831
sim_300_3-0_80_map.h5,70,6,mapping,20.1893,20.4151
sim_300_3-0_80_map.h5,70,6,gcp,0.929853,21.345
sim_300_3-0_80_map.h5,70,6,total,9.86088,31.2059
sim_300_3-0_80_map.h5,80,6,init,0.207622,0.207622
sim_300_3-0_80_map.h5,80,6,mapping,20.0705,20.2781
sim_300_3-0_80_map.h5,80,6,gcp,0.96211,21.2402
sim_300_3-0_80_map.h5,80,6,total,9.88719,31.1274
sim_300_3-0_80_map.h5,90,6,init,0.225319,0.225319
sim_300_3-0_80_map.h5,90,6,mapping,20.165,20.3903
sim_300_3-0_80_map.h5,90,6,gcp,0.590482,20.9808
sim_300_3-0_80_map.h5,90,6,total,10.0036,30.9843
sim_300_3-0_80_map.h5,100,6,init,0.238792,0.238792
sim_300_3-0_80_map.h5,100,6,mapping,20.3886,20.6274
sim_300_3-0_80_map.h5,100,6,gcp,0.6509,21.2783
sim_300_3-0_80_map.h5,100,6,total,9.90402,31.1823
sim_300_1-0_64_map.h5,5,7,init,0.222215,0.222215
sim_300_1-0_64_map.h5,5,7,mapping,20.1298,20.3521
sim_300_1-0_64_map.h5,5,7,gcp,0.550513,20.9026
sim_300_1-0_64_map.h5,5,7,total,10.0069,30.9094
sim_300_1-0_64_map.h5,10,7,init,0.211111,0.211111
sim_300_1-0_64_map.h5,10,7,mapping,20.1223,20.3334
sim_300_1-0_64_map.h5,10,7,gcp,0.648148,20.9816
sim_300_1-0_64_map.h5,10,7,total,9.92934,30.9109
sim_300_1-0_64_map.h5,20,7,init,0.226375,0.226375
sim_300_1-0_64_map.h5,20,7,mapping,20.1531,20.3795
sim_300_1-0_64_map.h5,20,7,gcp,0.611731,20.9913
sim_300_1-0_64_map.h5,20,7,total,9.95708,30.9483
