dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_300_0-5_71_map.h5,80,9,mapping,61.0034,61.2177
sim_300_0-5_71_map.h5,80,9,gcp,0.782967,62.0007
sim_300_0-5_71_map.h5,80,9,total,9.83264,71.8333
sim_300_0-5_71_map.h5,90,9,init,0.207014,0.207014
sim_300_0-5_71_map.h5,90,9,mapping,60.5315,60.7385
sim_300_0-5_71_map.h5,90,9,gcp,0.854777,61.5933
sim_300_0-5_71_map.h5,90,9,total,9.77834,71.3716
sim_300_0-5_71_map.h5,100,9,init,0.228038,0.228038
sim_300_0-5_71_map.h5,100,9,mapping,61.5761,61.8041
sim_300_0-5_71_map.h5,100,9,gcp,0.812408,62.6165
sim_300_0-5_71_map.h5,100,9,total,9.75437,72.3709
sim_300_1-0_90_map.h5,5,14,init,0.207078,0.207078
sim_300_1-0_90_map.h5,5,14,mapping,61.4921,61.6992
sim_300_1-0_90_map.h5,5,14,gcp,0.695637,62.3948
sim_300_1-0_90_map.h5,5,14,total,9.90749,72.3023
sim_300_1-0_90_map.h5,10,14,init,0.218566,0.218566
sim_300_1-0_90_map.h5,10,14,mapping,61.0275,61.2461
sim_300_1-0_90_map.h5,10,14,gcp,0.716053,61.9621
sim_300_1-0_90_map.h5,10,14,total,9.84743,71.8096
sim_300_1-0_90_map.h5,20,14,init,0.21143,0.21143
sim_300_1-0_90_map.h5,20,14,mapping,60.4366,60.648
sim_300_1-0_90_map.h5,20,14,gcp,1.2706,61.9186
sim_300_1-0_90_map.h5,20,14,total,9.58025,71.4989
sim_300_1-0_90_map.h5,30,14,init,0.215303,0.215303
sim_300_1-0_90_map.h5,30,14,mapping,61.403,61.6183
sim_300_1-0_90_map.h5,30,14,gcp,1.00496,62.6233
sim_300_1-0_90_map.h5,30,14,total,9.60003,72.2233
sim_300_1-0_90_map.h5,40,14,init,0.209223,0.209223
sim_300_1-0_90_map.h5,40,14,mapping,60.9127,61.1219
sim_300_1-0_90_map.h5,40,14,gcp,1.06723,62.1891
sim_300_1-0_90_map.h5,40,14,total,9.54355,71.7327
sim_300_1-0_90_map.h5,50,14,init,0.21303,0.21303
sim_300_1-0_90_map.h5,50,14,mapping,61.2339,61.447
sim_300_1-0_90_map.h5,50,14,gcp,0.990846,62.4378
sim_300_1-0_90_map.h5,50,14,total,9.59065,72.0285
sim_300_1-0_90_map.h5,60,14,init,0.218374,0.218374
sim_300_1-0_90_map.h5,60,14,mapping,61.1307,61.3491
